,keywords
Nanyang Technological University (NTU),"leading,global,university,centred,asia,national,university,singapore,nu,singapore,’,flagship,university,offer,global,approach,education,research,focus,asian,17,faculty,school,across,three,campus,transformative,education,includes,broadbased,curriculum,underscored,multidisciplinary,course,crossfaculty,enrichment,38000,student,100,country,enrich,community,diverse,social,cultural,perspective,nu,take,integrated,multidisciplinary,approach,research,working,partner,industry,government,academia,address,crucial,complex,issue,relevant,asia,world,researcher,nu,’,school,faculty,30,universitylevel,research,institute,centre,research,centre,excellence,cover,wide,range,theme,including,energy,environmental,urban,sustainability,treatment,prevention,disease,common,among,asian,active,ageing,advanced,material,risk,management,resilience,financial,system,university,’,latest,research,focus,use,data,science,optimisation,research,cyber,security,support,singapore,smart,nation,initiative,nu,also,strives,create,supportive,innovative,environment,promote,creative,enterprise,within,community"
National University of Singapore (NUS),"young,researchintensive,nanyang,technological,university,singapore,ntu,singapore,placed,11th,globally,1st,among,world,’,best,young,university,five,consecutive,year,q,university,ranking,ranked,top,university,world,citation,artificial,intelligence,nikkei,elsevier,2017,period,20122016,ntu,embracing,digital,technology,better,learning,living,part,smart,campus,vision,partnership,world,’,leading,technology,company,alibaba,rollsroyce,bmw,volvo,delta,electronics,singtel,many,area,societal,importance,impact,include,artificial,intelligence,data,science,robotics,smart,transportation,computing,personalised,medicine,healthcare,clean,energy,ntu,smart,campus,living,testbed,tomorrow,’,technology,also,frequently,listed,among,world,’,top,15,beautiful,university,campus,57,green,markcertified,equivalent,leedcertified,building,project,comprising,230,building,95,certified,green,mark,platinum"
Princeton University,"princeton,one,oldest,prestigious,university,united,state,founded,1746,moved,current,site,new,jersey,1896,princeton,renowned,spectacular,greenery,campus,architectural,splendor,landmark,building,lewis,library,designed,frank,gehry,student,body,relatively,small,fewer,10000,enrolled,total,international,student,make,12,per,cent,undergraduate,princeton,one,world,’,foremost,research,university,educated,two,u,president,james,madison,woodrow,wilson,distinguished,graduate,include,michelle,obama,actor,jimmy,stewart,david,duchovny,google,chairman,eric,schmidt,apollo,astronaut,pete,conrad,princeton,founded,new,light,presbyterian,provide,training,minister,american,civil,war,college,expanded,curriculum,overhauled,around,turn,20th,century,officially,became,university,famous,graduate,school,opened,today,’,princeton,provides,undergraduate,graduate,education,humanity,social,science,natural,science,engineering,well,offering,number,professional,degree,princeton,’,main,campus,spread,across,500,acre,around,180,building,including,10,library,main,campus,named,one,beautiful,united,state,new,york,’,travelleisure,magazine,princeton,student,live,eat,study,work,leisure,campus,ivy,league,institution,guarantee,accommodation,undergraduate,student,across,four,year,degree,committed,building,diverse,campus,community,residential,college,offer,variety,academic,social,cultural,recreational,program,opportunity,abound,student,engage,interest,beyond,academic,study,whether,writing,literary,publication,learning,science,beekeeping,singing,capella,group,university,within,easy,reach,new,york,city,philadelphia,“,dinky,”,shuttle,train,providing,regular,onehour,service,city,studying,princeton,surrounded,natural,beauty,architectural,gem,brings,best,student,several,alumnus,faculty,member,awarded,nobel,prize,university,consistently,ranked,top,ten,worldwide,admission,needblind,combination,grant,college,job,student,graduate,debt,–,even,though,60,percent,incoming,student,receive,financial,aid,princeton,one,oldest,prestigious,university,united,state,founded,1746,moved,current,site,new,jersey,1896,princeton,renowned,spectacular,greenery,campus,architectural,splendor,landmark,building,lewis,library,designed,frank,gehry,student,body,relatively,small,fewer,10000,enrolled,total,international,student,make,12,per,cent,undergraduate,princeton,one,world,’,foremost,research,university,educated,two,u,president,james,madison,woodrow,wilson,distinguished,graduate,include,michelle,obama,actor,jimmy,stewart,david,duchovny,google,chairman,eric,schmidt,apollo,astronaut,pete,conrad,princeton,founded,new,light,presbyterian,provide,training,minister,american,civil,war,college,expanded,curriculum,overhauled,around,turn,20th,century,officially,became,university,famous,graduate,school,opened,today,’,princeton,provides,undergraduate,graduate,education,humanity,social,science,natural,science,engineering,well,offering,number,professional,degree"
Cornell University,"cornell,coeducational,nonsectarian,institution,admission,restricted,religion,race,liberal,tradition,cornell,hold,dear,recent,article,cornell,chronicle,heralded,first,allfemale,class,admitted,famous,farrier,program,veterinary,science,cornell,also,first,university,offer,degree,journalism,first,teach,modern,far,eastern,language"
University of Pennsylvania,"university,pennsylvania,private,ivy,league,research,university,located,city,philadelphia,founded,1740,benjamin,franklin,one,united,state,’,founding,father,eager,create,school,educate,future,generation,penn,strong,focus,interdisciplinary,learning,research,offering,double,degree,program,unique,major,academic,flexibility,art,science,program,ranking,top,10,nationally,employment,prospect,student,among,brightest,penn,boast,one,highest,number,graduate,go,become,fortune,500,ceo,little,doubt,university,pennsylvania,deserves,ivy,league,status,reputation"
Tsinghua University,"tsinghua,university,established,1911,wake,anticolonialist,boxer,rebellion,saw,u,fine,china,30m,punishment,1909,president,theodore,roosevelt,negotiated,congress,reduction,sum,leftover,money,earmarked,university,scholarship,chinese,student,study,u,tsinghua,university,established,preparatory,school,student,’,trip,abroad,today,tsinghua,’,motto,“,selfdiscipline,excellence,”,taken,far,university,ranking,place,tsinghua,among,best,university,china,famous,alumnus,include,president,xi,jinping,graduated,degree,chemical,engineering,1979,tony,blair,henry,kissinger,bill,clinton,among,distinguished,guest,spoken,tsinghua,campus,student,keep,occupied,academic,study,although,heavy,workload,mean,studying,always,priority,110,student,club,association,covering,interest,science,technology,health,fitness,humanity,art,public,welfare"
Yale University,"yale,university,private,research,university,member,prestigious,ivy,league,group,america,’,celebrated,higher,education,institution,situated,new,connecticut,first,planned,city,america,yale,founded,english,puritan,1701,making,thirdoldest,higher,education,institution,united,state,undergraduate,follow,liberal,art,curriculum,allows,think,learn,across,discipline,deciding,upon,major,perhaps,distinctive,feature,yale,undergraduate,organized,social,system,residential,college,allows,experience,cohesiveness,intimacy,small,school,still,enjoying,cultural,scholarly,resource,large,university,study,yale,join,great,company,four,yale,graduate,signed,american,declaration,independence,university,educated,five,u,president,william,howard,taft,gerald,ford,george,h,w,bush,bill,clinton,george,w,bush,rightly,regarded,one,america,world,’,prestigious,university,competition,admitted,fierce,get"
Columbia University,"columbia,university,private,ivy,league,research,university,upper,manhattan,new,york,city,established,king,college,royal,charter,george,ii,great,britain,renamed,columbia,college,1784,following,american,revolutionary,war,undergraduate,acceptance,rate,58,percent,columbia,currently,third,selective,college,united,state,second,selective,ivy,league,harvard,first,president,none,literary,great,samuel,johnson,year,columbia,produced,numerous,distinguished,alumnus,oscar,winner,nobel,laureate,supreme,court,judge,three,u,president,author,declaration,independence,american,constitution,also,schooled,columbia,also,run,highly,distinguished,pulitzer,prize,annual,award,achievement,journalism,literature,musical,composition"
Ecole Polytechnique F�d�rale de Lausanne (EPFL),"école,polytechnique,fédérale,de,lausanne,epfl,research,institute,university,lausanne,switzerland,specializing,natural,science,engineering,epfl,singular,admission,process,wouldbe,undergraduate,swiss,national,selective,end,freshman,year,however,block,exam,determines,whether,student,continue,repeat,year,many,home,student,dropping,entirely,point,wide,range,sport,leisure,facility,keep,student,physically,active,studying,epfl,also,active,student,medium,publishing,monthly,newspaper,flash,daily,broadcast,student,radio,station,another,priority,campus,art,university,holding,several,annual,music,festival,year,largest,balélec,festival,15000,visitor,descend,upon,university,watch,30,concert,two,outdoor,four,indoor,stage"
University of Edinburgh,"university,edinburgh,one,world,top,university,consistently,ranked,world,top,50,placed,20th,2020,q,world,university,ranking,entrepreneurial,crossdisciplinary,culture,attracts,student,staff,across,globe,creating,unique,edinburgh,experience,provide,stimulating,working,learning,teaching,environment,access,excellent,facility,attract,world,best,nobel,prize,winning,laureate,future,explorer,pioneer,inventor,offer,range,way,study,oncampus,taught,programme,online,parttime,study,largest,provider,online,distance,learning,russell,group,uk,researchintensive,university,offer,70,online,programme,flexible,supportive,online,learning,programme,increasingly,popular,choice,student,looking,balance,study,professional,family,commitment,position,one,britain,’,leading,research,university,reaffirmed,result,2014,research,excellence,framework,ref,ref,rate,83,research,activity,worldleading,internationally,excellent,ranking,u,fourth,uk,based,quality,breadth,research,associated,19,nobel,prize,winner,alumnus,university,member,academic,staff,long,enjoyed,spirit,innovation,collaboration,continue,today,proudly,open,everyone,bringing,people,new,outlook,perspective,together,international,community,establishing,data,capital,europe,tackling,climate,change,paving,way,new,fertility,treatment,scientist,seeking,cure,cancer,repurposing,drug,improve,treatment,covid19,coronavirus,contributing,global,search,vaccine,joining,university,student,provides,unique,opportunity,work,influential,academic,chosen,field,edinburgh,develop,specialist,skill,deepen,understanding,gain,new,insight,perspective,equip,career,ahead,position,one,britain,’,leading,research,university,reaffirmed,result,2014,research,excellence,framework,ref,ref,rate,83,research,activity,worldleading,internationally,excellent,ranking,u,fourth,uk,based,quality,breadth,research,associated,19,nobel,prize,winner,alumnus,university,member,academic,staff,long,enjoyed,spirit,innovation,collaboration,continue,today,proudly,open,everyone,bringing,people,new,outlook,perspective,together,international,community,establishing,data,capital,europe,tackling,climate,change,paving,way,new,fertility,treatment,scientist,seeking,cure,cancer,repurposing,drug,improve,treatment,covid19,coronavirus,contributing,global,search,vaccine,joining,university,student,provides,unique,opportunity,work,influential,academic,chosen,field,edinburgh,develop,specialist,skill,deepen,understanding,gain,new,insight,perspective,equip,career,ahead,collaborate,host,worldleading,institution,field,diverse,escience,engineering,life,medical,science,art,culture,’,also,member,global,research,network,universitas,21,european,network,coimbra,group,well,unica,leru,una,europaour,student,crucial,continued,success,development,along,staff,forge,research,link,regular,travel,overseas,exchange,take,pride,partnership,institution,california,institute,technology,university,copenhagen,university,college,dublin,university,melbourne,peking,university,university,delhi,zhejiang,university–,name"
University of Michigan,"one,foremost,research,university,united,state,university,michigan,founded,1817,michigan,even,become,state,moved,detroit,central,campus,ann,arbor,1837,michigan,span,780,acre,made,central,north,campus,two,regional,campus,center,detroit,large,student,body,around,46000,undergraduate,numbering,twothirds,number,michigan,lauded,high,standard,research,university,’,comprehensive,graduate,program,offer,doctoral,degree,humanity,social,science,stem,field,science,technology,engineering,mathematics,well,professional,degree,architecture,business,medicine,law,pharmacy,nursing,social,work,public,health,dentistry,michigan,body,living,alumnus,comprises,half,million,people,one,largest,alumnus,base,university,world,valuable,resource,current,student,come,networking,building,industry,connection,around,quarter,student,accommodated,campus,many,residence,hall,serving,undergraduate,family,housing,intended,mainly,graduate,student,also,offcampus,apartment,house,cooperative,generally,house,upper,division,graduate,student,well,‘,theme,community,’,within,residence,hall,student,immerse,among,peer,similar,interest,michigan,1600,club,society,including,engineering,project,team,community,service,organization,charitable,project,michigan,marching,band,100,year,old,350,student,member,noted,musical,ensemble,include,university,michigan,men,’,glee,club,men,’,chorus,100,member,michigan,history,student,activism,number,group,dedicated,various,worth,cause,united,student,sweatshop,usa,devote,leftwing,cause,case,holding,account,multinational,company,exploit,worker,factory,also,conservative,group,young,american,freedom,well,nonpartisan,group,cultural,ethnical,student,organization,help,student,forge,smaller,community,large,university,population,publication,michigan,daily,published,five,day,week,fall,winter,term,allow,student,keep,abreast,latest,news,campus"
Peking University,"oldest,higher,education,institution,china,peking,university,founded,1898,replacement,ancient,guozijian,school,imperial,college,early,1920s,become,center,chinese,progressive,thought,playing,important,role,china,new,culture,movement,may,fourth,movement,tiananmen,square,protest,1989,among,significant,historical,event,peking,university,consistently,ranked,top,academic,institution,china,well,renowned,academically,’,wellknown,stunning,campus,ground,beauty,traditional,chinese,architecture,peking,university,educated,prominent,figure,chinese,history,including,mao,zedong,main,university,campus,former,site,qing,dynasty,imperial,garden,feature,traditional,chinesestyle,landscaping,including,traditional,house,garden,pagoda,well,many,notable,historical,building,structure,weiming,lake,north,campus,surrounded,walking,path,small,garden,university,ground,also,home,museum,museum,university,history,arthur,sackler,museum,art,archaeology,student,view,object,dating,back,thousand,year,’,environment,feed,enquiring,mind,young,student,–,academic,curriculum,’,already,peking,university,leading,university,science,research,teaching,successfully,developed,applied,science,research,teaching,well,30,college,12,department,93,undergraduate,program,199,master,degree,program,173,option,doctoral,candidate,peking,eager,student,receive,comprehensive,education,take,part,student,life,full,life,campus,rich,sport,extracurricular,fare,200,student,organization,range,activity,running,yearround,sport,important,beida,cup,athletic,championship,taking,place,year,festival,event,international,cultural,festival,singing,competition,foreign,student,allow,student,meet,make,friend,enjoy,balanced,life,outside,study"
The University of Tokyo,"established,1877,first,imperial,university,university,tokyo,one,japan,’,storied,prestigious,higher,education,establishment,2011,university,nicknamed,todai,ranked,second,world,behind,harvard,number,alumnus,ceo,position,fortune,500,company,also,15,japan,’,62,prime,minister,educated,university,tokyo,five,alumnus,gone,become,astronaut,tokyo,consists,10,faculty,15,graduate,school,30000,student,enrolled,2100,overseas,unusually,japanese,university,also,run,undergraduate,program,taught,entirely,english,international,program,japan,east,asia,international,program,environmental,science,2014,university,’,school,science,introduced,allenglish,undergraduate,transfer,program,called,global,science,course,todai,five,campus,district,hongō,komaba,kashiwa,shirokane,nakano,tokyo,vibrant,metropolis,distinct,urban,character,unique,culture,ideal,growing,mind,youthful,adventure,main,hongo,campus,occupies,former,estate,maeda,family,feudal,lord,kaga,province,therefore,attracts,tourist,due,landmark,akamon,red,gate,majestic,yasuda,auditorium,’,also,utokyo,’,annual,may,festival,held,campus,modern,feature,komaba,campus,¬–,home,college,art,science,graduate,school,art,science,graduate,school,mathematical,science,–,home,7000,freshman,sophomore,undergraduate,experience,university,tokyo,unique,’,japanese,university,system,two,year,general,education,student,choose,major,campus,designated,center,excellence,three,new,area,research,japan,’,ministry,education,science"
Johns Hopkins University,"john,hopkins,university,american,private,research,university,baltimore,maryland,founded,1876,named,first,benefactor,american,entrepreneur,abolitionist,philanthropist,john,hopkins,blazed,trail,among,higher,education,institution,first,u,research,university,today,put,money,research,u,academic,institution,’,also,widely,credited,revolutionizing,higher,education,first,u,institution,integrate,teaching,research,date,john,hopkins,spawned,27,nobel,laureate,including,former,u,president,woodrow,wilson,john,hopkins,organized,10,division,campus,maryland,washington,dc,international,center,italy,china,singapore,john,hopkins,regularly,rank,top,10,university,u,also,competitive,globally,especially,undergraduate,program,john,hopkins,enrolls,24000,full,parttime,student,across,nine,academic,division,faculty,member,student,studying,teaching,learning,across,260,program,art,music,humanity,social,natural,science,engineering,international,study,education,business,health,profession,applicant,undergraduate,level,generally,ranked,top,10,percent,high,school,class,time,application,selectivity,risen,class,graduating,2020,acceptance,rate,114,percent,john,hopkins,undergraduate,study,homewood,140acre,north,baltimore,campus,home,school,engineering,art,science,’,traditional,college,setting,heart,big,blossoming,city,redbrick,building,treelined,pathway,iconic,clock,tower,expansive,green,quad,nearly,undergraduate,based,main,campus,live,residence,hall,first,two,year,make,friend,take,advantage,officially,named,one,best,campus,dining,program,u,’,also,easy,access,top,class,art,culture,school,’,conservatory,peabody,institute,regularly,host,musical,extravaganza,concert,performance,center,visual,art,located,next,baltimore,museum,art,provides,plenty,source,artistic,inspiration,offcampus,student,venture,baltimore,city,rich,history,workingclass,port,blossomed,hub,social,cultural,economic,activity,–,yet,retains,smalltown,feel"
Duke University,"founded,1838,duke,university,private,research,university,located,durham,north,carolina,named,university,’,great,benefactor,james,buchanan,duke,’,deceased,father,washington,duke,campus,span,8600,acre,three,campus,durham,well,marine,lab,beaufort,main,campus,–,designed,largely,architect,julian,abele,–,incorporates,gothic,architecture,looming,presence,duke,chapel,campus,centerpiece,seat,nearly,1600,people,contains,5200pipe,organ,duke,seventhwealthiest,private,university,america,2014,thomson,reuters,named,32,duke,professor,list,highly,cited,researcher,ten,nobel,laureate,three,turing,award,winner,also,affiliated,university,secondlargest,private,employer,state,north,carolina,early,day,brown,’,schoolhouse,duke,evolved,global,academic,research,powerhouse,levine,science,research,center,largest,singlesite,interdisciplinary,research,facility,american,university,2014,duke,spread,tentacle,eastward,opening,chinese,outpost,duke,kunshan,university,blend,americanstyle,liberal,art,education,chinese,tradition,recent,academic,achievement,include,three,student,named,rhodes,scholar,2002,2006,also,2006,duke,researcher,unveiled,first,working,demonstration,invisibility,cloak,delight,harry,potter,fan,around,world,total,around,15000,student,attend,duke,majority,postgraduate,81,studenttofaculty,ratio,personalizes,learning,experience,undergraduate,access,four,academic,school,including,trinity,college,art,science,sanford,school,public,policy,graduate,student,enroll,nine,graduate,professional,school,including,duke,law,school,fuqua,school,business,school,medicine,university,ethnically,diverse,politically,engaged,student,body,activism,1960s,prompted,martin,luther,king,jr,speak,campus,civil,right,movement,following,violence,charlottesville,2017,statue,confederate,general,robert,e,lee,removed,entrance,duke,university,chapel,majority,duke,student,live,campus,take,advantage,university,’,enviable,sport,facility,get,fully,involved,student,life,duke,home,400,student,organization,–,cultural,faithbased,political,servicebased,–,foster,student,interaction,exchange,help,student,develop,interest,passion"
University of Hong Kong (HKU),"university,hong,kong,hku,hong,kong,’,oldest,tertiary,institution,history,stretching,back,hundred,year,university,hong,kong,ranked,26th,amongst,respected,comprehensive,researchled,university,world,research,driven,university,111,professor,ranked,world,top,1,scientist,essential,science,indicator,thomson,reuters,globally,connected,university,340,leading,university,across,43,country,diverse,community,9000,international,student,96,country,world,class,curriculum,english,medium,instruction,994,graduate,employment,rate,last,11th,consecutive,year,hku,meet,student,96,country,learn,best,professor,world,amongst,60,outside,hong,kong,get,opportunity,life,experience,abroad,study,hku,2015,4000,hku,undergraduate,student,gone,either,one,semester,one,year,student,exchange,programme,partner,university,participated,service,learning,project,field,trip,undergraduate,research,programme,internship,overseas,hku,base,get,go,place,like,cambridge,mit,harvard,myanmar,south,africa,expand,horizon,last,11,year,994,graduate,received,least,one,job,offer,every,consecutive,academic,year,many,embarking,career,field,diverse,finance,law,engineering,technology,working,international,corporate,including,like,apple,google,goldman,sachs"
The University of Manchester,"university,manchester,offer,1000,degree,programme,across,humanity,business,science,engineering,subject,area,programme,include,foundation,course,bachelor,degree,master,degree,phd,mba,ranked,27th,world,according,q,world,university,rankings®,2021,university,manchester,prestigious,red,brick,university,also,member,russell,group,select,network,leading,researchintensive,university,uk,university,investing,£1,billion,10,year,campus,facility,helping,sustain,incredible,history,innovation,25,nobel,prize,winner,among,current,former,student,staff,university,helped,development,world,first,modern,computer,1948,ernest,rutherford,first,split,atom,1917,today,university,manchester,forefront,cutting,edge,research,science,engineering,particularly,new,treatment,lifethreatening,disease,20152016,alone,university,manchester,attracted,£342,million,external,research,funding,recruiter,target,university,manchester,graduate,’,highly,employable,ranked,35th,q,graduate,employability,ranking,2017,boast,94,employability,rate,making,25,student,population,university,manchester,highest,percentage,international,student,uk,many,180,nationality,represented,campus,university,offer,number,postgraduate,scholarship,international,student,find,opportunity,may,eligible"
"University of California, Berkeley (UCB)","founded,1868,university,california,berkeley,ucb,public,research,university,flagship,institution,ten,research,university,affiliated,university,california,system,berkeley,one,14,founding,member,association,american,university,home,worldrenowned,research,institute,including,mathematical,science,research,institute,space,science,laboratory,berkeley,alumnus,faculty,researcher,include,99,nobel,laureate,23,turing,award,winner,14,pulitzer,prize,winner,faculty,member,j,r,oppenheimer,led,manhattan,project,create,first,atomic,bomb,berkeley,’,nobel,laureate,ernest,lawrence,invented,cyclotron,uc,berkeley,scientist,researcher,discovered,16,chemical,element,periodic,table,berkeley,started,little,40,student,first,fullcurriculum,university,california,quickly,gained,ground,illustrious,forebear,early,1940s,grown,substantially,ranked,second,harvard,decade,berkeley,gained,prestige,radiation,laboratory,instrumental,project,develop,atomic,bomb,sixty,berkeley,gained,worldwide,reputation,student,activism,thanks,free,speech,movement,1964,campus,opposition,vietnam,war,1969,governor,california,ronald,reagan,called,berkeley,campus,communist,sympathizer,protester,sex,deviant,though,today,’,student,tend,politically,moderate,berkeley,campus,encompasses,approximately,1232,acre,bay,area,los,angeles,many,beauxartsstyle,building,recognized,california,historical,landmark,three,quarter,40000,student,undergraduate,giving,life,campus,youthful,feel,vibrant,urban,surround,undergraduate,student,live,residential,hall,make,friend,work,play,safe,environment,designed,enhance,academic,experience,culture,care,also,student,coop,notforprofit,housing,cooperative,berkeley,student,1300,student,living,17,house,three,apartment,cooperative,around,berkeley,campus,student,play,sport,join,club,society,spanning,every,imaginable,interest,campus,student,visit,lawrence,hall,science,watch,sport,newlyrenovated,california,memorial,stadium,take,noon,concert,stroll,sproul,plaza,social,heart,berkeley,campus"
Australian National University (ANU),"australian,national,university,anu,worldleading,centre,education,research,ranked,1,australia,22,world,q,world,university,ranking,201617,australia,’,national,university,distinguished,outstanding,record,student,satisfaction,graduate,employability,academic,professional,staff,anu,offer,excellent,condition,including,flexible,working,arrangement,professional,development,opportunity,competitive,pay,generous,superannuation,within,integrated,engaged,oncampus,community"
University of Toronto,"founded,1827,university,toronto,evolved,canada,’,leading,institution,learning,discovery,knowledge,creation,proud,one,world,’,top,researchintensive,university,driven,invent,innovate,student,opportunity,learn,work,preeminent,thought,leader,multidisciplinary,network,teaching,research,faculty,alumnus,partner,idea,innovation,action,560000,graduate,continue,positive,impact,world"
